breed	avg_male_weight	avg_female_weight
Affenpinscher	9	9
Afghan Hound	60	50
Airedale Terrier	55	55
Akita	130 	110
Alaskan Malamute	85	75
American Cocker Spaniel	28	28
American Eskimo Dog (Miniature)	20	20
American Eskimo Dog (Standard)	40	40
American Eskimo Dog (Toy)	10	10
American Foxhound	65	65
American Staffordshire Terrier	67	67
American Water Spaniel	45	40
Anatolian Shepherd	150	120
Australian Cattle Dog	45	45
Australian Shepherd	65	55
Australian Terrier	14	14
Basenji	24	22
Basset Hound	60	60
Beagle	30	30
Bearded Collie	55	55
Beauceron	85	85
Bedlington Terrier	23	23
Belgian Malinois	65	65
Belgian Sheepdog	75	60
Belgian Tervuren	65	50
Bernese Mountain Dog	120	100
Bichon Frise	16	15
Black Russian Terrier	145	145
Black and Tan Coonhound	75	75
Bloodhound	110	100
Blue Heeler	45	45
Border Collie	45	45
Border Terrier	16	14
Borzoi	105	85
Boston Terrier	25	25
Bouvier des Flandres	90	90
Boxer	80	65
Briard	100	65
Brittany	40	40
Brussels Griffon	10	10
Bull Terrier	70	60
Bulldog	50	40
Bullmastiff	130	120
Cairn Terrier	14	13
Canaan Dog	55	45
Cane Corso	110	99
Cardigan Welsh Corgi	38	34
Cavalier King Charles Spaniel	18	18
Chesapeake Bay Retriever	80	70
Chihuahua	8	8
Chinese Crested Dog	12	12
Chinese Shar-Pei	60	60
Chow Chow	70	70
Clumber Spaniel	85	70
Cocker Spaniel	34	32
Collie	75	65
Corgi	38	34
Coton de Tulear	14	14
Curly-Coated Retriever	70	70
Dachshund (Miniature)	11	11
Dachshund (Standard)	32	32
Dalmatian	60	60
Dandie Dinmont Terrier	24	24
Doberman Pinscher	90	90
English Cocker Spaniel	34	32
English Foxhound	75	75
English Setter	65	55
English Springer Spaniel	50	40
English Toy Spaniel	14	14
Field Spaniel	50	50
Finnish Spitz	36	29
Flat-Coated Retriever	70	70
French Bulldog	28	28
German Pinscher	35	35
German Shepherd Dog	95	95
German Shorthaired Pointer	70	60
German Wirehaired Pointer	75	75
Giant Schnauzer	90	90
Glen of Imaal Terrier	35	35
Golden Retriever	75	65
Gordon Setter	80	70
Great Dane	180	150
Great Pyrenees	115	90
Greater Swiss Mountain Dog	140	110
Greyhound	70	65
Harrier	60	45
Havanese	13	13
Ibizan Hound	50	45
Irish Setter	70	60
Irish Terrier	27	25
Irish Water Spaniel	65	58
Irish Wolfhound	120	105
Italian Greyhound	14	14
Jack Russell Terrier	17	17
Japanese Chin	7	7
Keeshond	45	35
Kerry Blue Terrier	40	40
Komondor	80	70
Kuvasz	115	90
Labrador Retriever	80	70
Lakeland Terrier	17	17
Lhasa Apso	15	15
Lowchen	18	18
Maltese	7	7
Manchester Terrier (Standard)	22	22
Manchester Terrier (Toy)	9	9
Mastiff	190	190
Miniature Bull Terrier	33	33
Miniature Pinscher	10	10
Miniature Schnauzer	15	15
Neapolitan Mastiff	150	110
Newfoundland	150	120
Norfolk Terrier	12	12
Norwegian Elkhound	55	48
Norwich Terrier	12	12
Nova Scotia Duck Tolling Retriever	52	42
Old English Sheepdog	90	80
Otterhound	115	80
Papillon	9	9
Parson Russell Terrier	17	17
Pekingese	14	14
Pembroke Welsh Corgi	27	25
Petit Basset Griffon Vendeen	35	35
Pharaoh Hound	55	55
Pitbull	67	67
Plott	60	55
Pointer	75	65
Polish Lowland Sheepdog	35	35
Pomeranian	7	7
Poodle (Miniature)	18	18
Poodle (Standard)	65	65
Poodle (Toy)	8	8
Portuguese Water Dog	60	50
Pug	18	18
Puli	35	35
Pumi	35	35
Rat Terrier	18	18
Redbone Coonhound	65	65
Rhodesian Ridgeback	85	70
Rottweiler	135	100
Saint Bernard	200	200
Saluki (or Gazelle Hound)	65	65
Samoyed	65	50
Schipperke	16	14
Scottish Deerhound	110	95
Scottish Terrier	22	21
Sealyham Terrier	24	22
Shetland Sheepdog	20	20
Shiba Inu	23	17
Shih Tzu	16	16
Siberian Husky	60	50
Silky Terrier	11	11
Skye Terrier	40	30
Smooth Fox Terrier	19	17
Soft Coated Wheaten Terrier	40	35
Spinone Italiano	82	71
Staffordshire Bull Terrier	40	35
Standard Schnauzer	45	40
Sussex Spaniel	45	45
Tibetan Mastiff	150	110
Tibetan Spaniel	15	15
Tibetan Terrier	24	24
Toy Fox Terrier	7	7
Vizsla	65	65
Weimaraner	90	90
Welsh Springer Spaniel	50	50
Welsh Terrier	20	20
West Highland White Terrier	21	21
Whippet	40	40
Wire Fox Terrier	19	17
Wirehaired Pointing Griffon	60	60
Yorkshire Terrier (Yorkie)	7	7